date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country,year,month,quarter,house_age,is_renovated,years_since_renovation,living_lot_ratio,sqft_per_bedroom,sqft_per_bathroom,has_basement,basement_ratio,price_per_sqft,condition_label,state,zipcode
2014-05-02,313000.0,3.0,1.5,1340,7912,1.5,0,0,3,1340,0,1955,2005,18810 Densmore Ave N,Shoreline,WA 98133,USA,2014,5,2,70,1,20,0.16936299292214357,446.6666666666667,893.3333333333334,0,0.0,233.5820895522388,Average,WA,98133
2014-05-02,2384000.0,5.0,2.5,3650,9050,2.0,0,4,5,3370,280,1921,0,709 W Blaine St,Seattle,WA 98119,USA,2014,5,2,104,0,104,0.40331491712707185,730.0,1460.0,1,0.07671232876712329,653.1506849315068,Very Good,WA,98119
2014-05-02,342000.0,3.0,2.0,1930,11947,1.0,0,0,4,1930,0,1966,0,26206-26214 143rd Ave SE,Kent,WA 98042,USA,2014,5,2,59,0,59,0.16154683184062946,643.3333333333334,965.0,0,0.0,177.2020725388601,Good,WA,98042
2014-05-02,420000.0,3.0,2.25,2000,8030,1.0,0,0,4,1000,1000,1963,0,857 170th Pl NE,Bellevue,WA 98008,USA,2014,5,2,62,0,62,0.24906600249066002,666.6666666666666,888.8888888888889,1,0.5,210.0,Good,WA,98008
2014-05-02,550000.0,4.0,2.5,1940,10500,1.0,0,0,4,1140,800,1976,1992,9105 170th Ave NE,Redmond,WA 98052,USA,2014,5,2,49,1,33,0.18476190476190477,485.0,776.0,1,0.41237113402061853,283.50515463917526,Good,WA,98052
2014-05-02,490000.0,2.0,1.0,880,6380,1.0,0,0,3,880,0,1938,1994,522 NE 88th St,Seattle,WA 98115,USA,2014,5,2,87,1,31,0.13793103448275862,440.0,880.0,0,0.0,556.8181818181819,Average,WA,98115
2014-05-02,335000.0,2.0,2.0,1350,2560,1.0,0,0,3,1350,0,1976,0,2616 174th Ave NE,Redmond,WA 98052,USA,2014,5,2,49,0,49,0.52734375,675.0,675.0,0,0.0,248.14814814814815,Average,WA,98052
2014-05-02,482000.0,4.0,2.5,2710,35868,2.0,0,0,3,2710,0,1989,0,23762 SE 253rd Pl,Maple Valley,WA 98038,USA,2014,5,2,36,0,36,0.07555481208876993,677.5,1084.0,0,0.0,177.85977859778598,Average,WA,98038
2014-05-02,452500.0,3.0,2.5,2430,88426,1.0,0,0,4,1570,860,1985,0,46611-46625 SE 129th St,North Bend,WA 98045,USA,2014,5,2,40,0,40,0.027480605251849005,810.0,972.0,1,0.35390946502057613,186.21399176954733,Good,WA,98045
2014-05-02,640000.0,4.0,2.0,1520,6200,1.5,0,0,3,1520,0,1945,2010,6811 55th Ave NE,Seattle,WA 98115,USA,2014,5,2,80,1,15,0.24516129032258063,380.0,760.0,0,0.0,421.05263157894734,Average,WA,98115
